m,city,early,now,diff,avg
10,Івано-Франківськ,9.495307917888564,11.16451612903226,1.6692082111436957,1
10,Вінниця,9.060557184750733,9.94032258064516,0.8797653958944274,1
10,Дніпро,10.153812316715541,10.943548387096774,0.7897360703812328,1
10,Донецьк,9.45,10.067741935483872,0.6177419354838722,1
10,Житомир,8.682551319648093,9.619354838709677,0.9368035190615842,1
10,Запоріжжя,10.675366568914956,11.535483870967743,0.860117302052787,1
10,Київ,8.792521994134898,9.654838709677419,0.8623167155425211,1
10,Кропивницький,9.92873900293255,10.691935483870967,0.7631964809384169,1
10,Луганськ,9.692668621700879,10.416129032258064,0.7234604105571858,1
10,Луцьк,9.461143695014663,10.858064516129033,1.3969208211143709,1
10,Львів,9.649120234604105,10.935483870967742,1.286363636363637,1
10,Миколаїв,11.448826979472141,12.238709677419354,0.7898826979472133,1
10,Одеса,11.862463343108503,13.100000000000001,1.237536656891498,1
10,Полтава,8.818475073313783,9.598387096774195,0.7799120234604118,1
10,Рівне,9.262463343108504,10.680645161290323,1.4181818181818198,1
10,Суми,8.25850439882698,8.998387096774193,0.7398826979472126,1
10,Сімферопіль,12.061143695014664,12.035483870967743,-0.025659824046920576,0
10,Тернопіль,9.101759530791789,10.338709677419354,1.2369501466275654,1
10,Ужгород,10.645014662756598,11.383870967741936,0.7388563049853385,1
10,Харків,8.848093841642228,9.591935483870968,0.7438416422287393,1
10,Херсон,11.66466275659824,12.27258064516129,0.6079178885630494,1
10,Хмельницький,8.935923753665689,9.94032258064516,1.0043988269794717,1
10,Черкаси,9.638123167155426,10.429032258064517,0.790909090909091,1
10,Чернівці,9.610263929618768,11.240322580645161,1.6300586510263937,1
10,Чернігів,8.256011730205278,9.024193548387096,0.7681818181818176,1
11,Івано-Франківськ,4.440454545454545,4.331666666666667,-0.10878787878787843,0
11,Вінниця,3.6175757575757572,3.5366666666666666,-0.0809090909090906,0
11,Дніпро,3.9353030303030305,4.891666666666667,0.9563636363636361,1
11,Донецьк,2.763181818181818,4.0616666666666665,1.2984848484848484,1
11,Житомир,3.474090909090909,2.591666666666667,-0.8824242424242423,0
11,Запоріжжя,4.471969696969697,5.693333333333333,1.2213636363636367,1
11,Київ,3.256666666666667,2.783333333333333,-0.4733333333333336,0
11,Кропивницький,3.93,4.156666666666667,0.22666666666666702,1
11,Луганськ,2.79969696969697,3.908333333333333,1.1086363636363634,1
11,Луцьк,4.546515151515151,4.07,-0.47651515151515067,0
11,Львів,4.6909090909090905,4.053333333333333,-0.6375757575757577,0
11,Миколаїв,5.491212121212121,6.1433333333333335,0.6521212121212123,1
11,Одеса,6.306969696969698,6.996666666666667,0.6896969696969695,1
11,Полтава,2.765757575757576,3.001666666666667,0.23590909090909085,1
11,Рівне,4.3513636363636365,3.7483333333333335,-0.603030303030303,0
11,Суми,2.304242424242424,2.006666666666667,-0.2975757575757574,0
11,Сімферопіль,6.627121212121212,8.416666666666666,1.789545454545454,1
11,Тернопіль,3.908030303030303,3.5149999999999997,-0.3930303030303035,0
11,Ужгород,5.625909090909091,5.87,0.24409090909090914,1
11,Харків,2.4645454545454544,2.591666666666667,0.1271212121212124,1
11,Херсон,5.711969696969697,6.6850000000000005,0.9730303030303036,1
11,Хмельницький,3.7013636363636366,3.5383333333333336,-0.16303030303030308,0
11,Черкаси,3.936818181818182,4.1,0.16318181818181765,1
11,Чернівці,4.276818181818181,4.3133333333333335,0.036515151515152056,1
11,Чернігів,2.7612121212121212,2.131666666666667,-0.6295454545454544,0
12,Івано-Франківськ,0.2587976539589443,0.7553571428571428,0.49655948889819856,1
12,Вінниця,-0.4939882697947214,-0.6696428571428571,-0.17565458734813572,0
12,Дніпро,0.004985337243401778,0.9571428571428572,0.9521575198994554,1
12,Донецьк,-1.0195014662756599,-0.45178571428571423,0.5677157519899456,1
12,Житомир,-0.6347507331378299,-1.3142857142857143,-0.6795349811478844,0
12,Запоріжжя,0.6435483870967742,1.6839285714285714,1.0403801843317972,1
12,Київ,-0.7580645161290323,-1.5589285714285714,-0.8008640552995392,0
12,Кропивницький,0.05263929618768328,0.7303571428571428,0.6777178466694596,1
12,Луганськ,-0.983724340175953,-0.5142857142857143,0.46943862589023866,1
12,Луцьк,0.3560117302052786,-0.8017857142857144,-1.157797444490993,0
12,Львів,0.36466275659824043,-0.21428571428571422,-0.5789484708839546,0
12,Миколаїв,1.6140762463343108,2.867857142857143,1.253780896522832,1
12,Одеса,2.1548387096774193,3.2767857142857144,1.121947004608295,1
12,Полтава,-1.10733137829912,-0.34285714285714286,0.7644742354419772,1
12,Рівне,0.1565982404692082,-0.6624999999999999,-0.8190982404692081,0
12,Суми,-1.7316715542521994,-1.207142857142857,0.5245286971093424,1
12,Сімферопіль,2.9211143695014665,4.8446428571428575,1.923528487641391,1
12,Тернопіль,-0.33592375366568916,-0.7267857142857144,-0.3908619606200252,0
12,Ужгород,0.8939882697947215,1.5535714285714286,0.6595831587767071,1
12,Харків,-1.4853372434017595,-0.39107142857142857,1.094265814830331,1
12,Херсон,1.9809384164222874,3.3464285714285715,1.3654901550062841,1
12,Хмельницький,-0.5752199413489736,-0.5892857142857143,-0.014065772936740717,0
12,Черкаси,-0.06099706744868033,0.08035714285714288,0.1413542103058232,1
12,Чернівці,-0.12639296187683285,0.5446428571428571,0.6710358190196899,1
12,Чернігів,-1.363782991202346,-2.075,-0.7112170087976541,0
