"Date","Price","Open","High","Low","Vol.","Change %"
"08/18/2022","241.005","241.005","241.005","241.005","","6.72%"
"08/17/2022","225.835","225.835","225.835","225.835","","-0.04%"
"08/16/2022","225.915","225.915","225.915","225.915","","2.64%"
"08/15/2022","220.110","220.110","220.110","220.110","","6.79%"
"08/12/2022","206.110","206.110","206.110","206.110","","-0.96%"
"08/11/2022","208.110","208.110","208.110","208.110","","1.34%"
"08/10/2022","205.365","205.365","205.365","205.365","","6.86%"
"08/09/2022","192.185","192.185","192.185","192.185","","-0.45%"
"08/08/2022","193.055","193.055","193.055","193.055","","-1.66%"
"08/05/2022","196.320","196.320","196.320","196.320","","-1.47%"
"08/04/2022","199.250","199.250","199.250","199.250","","0.03%"
"08/03/2022","199.195","199.195","199.195","199.195","","-2.91%"
"08/02/2022","205.175","205.175","205.175","205.175","","2.18%"
"08/01/2022","200.795","200.795","200.795","200.795","","5.18%"
"07/29/2022","190.915","190.915","190.915","190.915","","-4.03%"
"07/28/2022","198.930","198.930","198.930","198.930","","-3.07%"
"07/27/2022","205.225","205.225","205.225","205.225","","2.65%"
"07/26/2022","199.920","199.920","199.920","199.920","","13.20%"
"07/25/2022","176.615","176.615","176.615","176.615","","10.48%"
"07/22/2022","159.865","159.865","159.865","159.865","","2.74%"
"07/21/2022","155.600","155.600","155.600","155.600","","0.36%"
"07/20/2022","155.040","155.040","155.040","155.040","","0.38%"
"07/19/2022","154.455","154.455","154.455","154.455","","-1.78%"
"07/18/2022","157.260","157.260","157.260","157.260","","-1.44%"
"07/15/2022","159.565","159.565","159.565","159.565","","-8.84%"
"07/14/2022","175.035","175.035","175.035","175.035","","-3.03%"
"07/13/2022","180.505","180.505","180.505","180.505","","4.57%"
"07/12/2022","172.610","172.610","172.610","172.610","","4.92%"
"07/11/2022","164.520","164.520","164.520","164.520","","-6.10%"
"07/08/2022","175.210","175.210","175.210","175.210","","-4.35%"
"07/07/2022","183.185","183.185","183.185","183.185","","7.13%"
"07/06/2022","171.000","171.000","171.000","171.000","","3.59%"
"07/05/2022","165.075","165.075","165.075","165.075","","11.70%"
"07/01/2022","147.785","147.785","147.785","147.785","","2.26%"
"06/30/2022","144.515","144.515","144.515","144.515","","3.53%"
"06/29/2022","139.588","139.588","139.588","139.588","","8.06%"
"06/28/2022","129.175","129.175","129.175","129.175","","-0.22%"
"06/27/2022","129.460","129.460","129.460","129.460","","0.74%"
"06/24/2022","128.505","128.505","128.505","128.505","","-3.63%"
"06/23/2022","133.345","133.345","133.345","133.345","","4.86%"
"06/22/2022","127.170","127.170","127.170","127.170","","1.28%"
"06/21/2022","125.560","125.560","125.560","125.560","","6.64%"
"06/17/2022","117.740","117.740","117.740","117.740","","-5.33%"
"06/16/2022","124.365","124.365","124.365","124.365","","3.35%"
"06/15/2022","120.330","120.330","120.330","120.330","","24.00%"
"06/14/2022","97.040","97.040","97.040","97.040","","16.35%"
"06/13/2022","83.400","83.400","83.400","83.400","","1.13%"
"06/10/2022","82.465","82.465","82.465","82.465","","-2.85%"
"06/09/2022","84.880","84.880","84.880","84.880","","6.90%"
"06/08/2022","79.405","79.405","79.405","79.405","","-0.26%"
"06/07/2022","79.610","80.410","81.020","80.410","0.01K","-3.57%"
"06/06/2022","82.560","83.005","83.005","83.005","0.02K","-0.65%"
"06/03/2022","83.100","83.100","83.100","83.100","","-1.01%"
"06/02/2022","83.945","83.945","83.945","83.945","","-1.88%"
"06/01/2022","85.550","85.550","85.550","85.550","","-8.99%"
"05/31/2022","94.005","94.005","94.005","94.005","","8.21%"
"05/27/2022","86.875","86.250","86.250","86.250","0.01K","1.05%"
"05/26/2022","85.970","85.970","85.970","85.970","","-2.40%"
"05/25/2022","88.080","85.625","86.125","84.840","0.05K","4.23%"
"05/24/2022","84.505","86.875","86.875","86.875","0.01K","1.46%"
"05/23/2022","83.290","85.220","85.220","85.220","0.01K","-5.24%"
"05/20/2022","87.900","87.900","87.900","87.900","","-3.43%"
"05/19/2022","91.025","91.025","91.025","91.025","","-3.72%"
"05/18/2022","94.540","96.475","96.475","96.475","0.01K","0.39%"
"05/17/2022","94.175","94.175","94.175","94.175","","1.42%"
"05/16/2022","92.860","92.860","92.860","92.860","","-4.15%"
"05/13/2022","96.880","96.880","96.880","96.880","","-9.20%"
"05/12/2022","106.700","106.700","106.700","106.700","","13.50%"
"05/11/2022","94.010","94.010","94.010","94.010","","-4.85%"
"05/10/2022","98.800","98.800","98.800","98.800","","5.35%"
"05/09/2022","93.785","96.315","96.315","95.000","0.05K","-7.79%"
"05/06/2022","101.710","101.710","101.710","101.710","","-4.51%"
"05/05/2022","106.510","106.510","106.510","106.510","","2.59%"
"05/04/2022","103.820","103.820","103.820","103.820","","4.42%"
"05/03/2022","99.425","99.425","99.425","99.425","","2.45%"
"05/02/2022","97.050","97.050","97.050","97.050","","-2.41%"
"04/29/2022","99.450","99.450","99.450","99.450","","-0.69%"
"04/28/2022","100.142","100.142","100.142","100.142","","-6.78%"
"04/27/2022","107.425","107.425","107.425","107.425","","4.08%"
"04/26/2022","103.210","103.210","103.210","103.210","","11.18%"
"04/25/2022","92.835","92.835","92.835","92.835","","-2.15%"
"04/22/2022","94.875","94.875","94.875","94.875","","-5.18%"
"04/21/2022","100.060","100.060","100.060","100.060","","6.19%"
"04/20/2022","94.230","96.750","96.750","96.750","0.00K","0.49%"
"04/19/2022","93.770","93.770","93.770","93.770","","-1.93%"
"04/18/2022","95.620","95.620","95.620","95.620","","0.00%"
"04/14/2022","95.620","95.620","95.620","95.620","","-9.21%"
"04/13/2022","105.325","105.325","105.325","105.325","","3.04%"
"04/12/2022","102.220","103.750","103.750","103.750","0.00K","2.08%"
"04/11/2022","100.135","100.135","100.135","100.135","","-3.61%"
"04/08/2022","103.880","103.880","103.880","103.880","","-0.66%"
"04/07/2022","104.565","104.565","104.565","104.565","","-2.08%"
"04/06/2022","106.790","106.790","106.790","106.790","","-1.63%"
"04/05/2022","108.565","108.140","108.140","108.140","0.00K","-0.88%"
"04/04/2022","109.525","109.525","109.525","109.525","0.01K","-2.34%"
"04/01/2022","112.150","114.750","114.750","114.750","0.03K","-10.92%"
"03/31/2022","125.905","125.905","125.905","125.905","","5.83%"
"03/30/2022","118.970","118.970","118.970","118.970","","9.77%"
"03/29/2022","108.380","108.380","108.380","108.380","0.38K","5.69%"
"03/28/2022","102.545","97.600","97.600","97.600","0.00K","1.26%"
"03/25/2022","101.270","101.270","101.270","101.270","0.04K","-9.26%"
"03/24/2022","111.610","116.000","116.000","116.000","0.03K","-4.61%"
"03/23/2022","117.000","117.000","117.000","117.000","","18.49%"
"03/22/2022","98.745","98.745","98.745","98.745","0.01K","2.54%"
"03/21/2022","96.302","98.720","98.720","98.720","0.01K","-8.32%"
"03/18/2022","105.045","105.045","105.045","105.045","0.01K","-0.04%"
"03/17/2022","105.090","110.500","110.500","105.250","0.02K","2.40%"
"03/16/2022","102.625","102.625","102.625","102.625","","-11.10%"
"03/15/2022","115.440","121.690","121.690","121.690","0.00K","0.80%"
"03/14/2022","114.520","114.520","114.520","114.520","0.00K","-12.73%"
"03/11/2022","131.230","131.230","131.230","131.230","","3.82%"
"03/10/2022","126.400","126.400","126.400","126.400","","-18.91%"
"03/09/2022","155.880","155.880","155.880","155.880","","-27.35%"
"03/08/2022","214.555","214.555","214.555","214.555","","-5.57%"
"03/07/2022","227.200","227.200","227.200","227.200","0.01K","18.00%"
"03/04/2022","192.550","192.550","192.550","192.550","0.02K","19.73%"
"03/03/2022","160.825","148.000","148.000","147.490","0.01K","-2.85%"
"03/02/2022","165.545","165.545","165.545","165.545","0.00K","36.06%"
"03/01/2022","121.675","103.665","119.270","103.665","0.43K","23.41%"
"02/28/2022","98.595","116.490","116.490","104.470","0.03K","4.42%"
"02/25/2022","94.422","94.422","94.422","94.422","0.10K","-29.70%"
"02/24/2022","134.315","106.100","135.000","106.100","0.00K","51.10%"
"02/23/2022","88.890","83.175","88.000","83.175","0.04K","11.40%"
"02/22/2022","79.790","71.525","80.345","71.525","0.37K","11.25%"
"02/21/2022","71.720","71.525","75.465","71.525","0.09K","-2.77%"
"02/18/2022","73.760","72.975","73.900","70.570","0.05K","-1.54%"
"02/17/2022","74.915","73.350","75.150","71.340","0.05K","7.34%"
"02/16/2022","69.795","69.095","71.000","68.970","0.10K","-1.59%"
"02/15/2022","70.920","76.060","76.170","68.515","0.13K","-12.20%"
"02/14/2022","80.770","83.600","83.600","79.695","0.30K","4.32%"
"02/11/2022","77.425","73.415","76.400","73.305","0.17K","4.13%"
"02/10/2022","74.355","74.030","74.680","72.470","0.15K","-0.08%"
"02/09/2022","74.415","76.695","76.695","73.835","0.07K","-3.73%"
"02/08/2022","77.300","81.480","82.000","75.480","0.32K","-2.88%"
"02/07/2022","79.595","78.800","79.740","77.850","0.07K","-3.70%"
"02/04/2022","82.650","81.470","82.450","81.470","0.10K","3.02%"
"02/03/2022","80.225","79.600","80.100","77.010","0.33K","3.72%"
"02/02/2022","77.350","77.150","79.100","76.290","0.38K","1.56%"
"02/01/2022","76.165","78.300","78.380","74.800","0.48K","-10.04%"
"01/31/2022","84.670","84.850","84.850","84.850","0.00K","-8.03%"
"01/28/2022","92.062","92.062","92.062","92.062","0.06K","-0.26%"
"01/27/2022","92.300","92.250","92.900","90.310","0.33K","0.51%"
"01/26/2022","91.835","89.395","92.445","89.395","0.07K","-1.86%"
"01/25/2022","93.580","92.385","95.510","92.385","0.05K","0.62%"
"01/24/2022","93.000","88.605","93.600","88.605","0.07K","17.75%"
"01/21/2022","78.980","74.765","81.815","74.765","0.05K","5.02%"
"01/20/2022","75.205","71.000","75.590","71.000","0.05K","-0.52%"
"01/19/2022","75.600","73.950","76.500","71.420","0.05K","-3.49%"
"01/18/2022","78.335","83.275","84.600","74.890","0.13K","0.15%"
"01/17/2022","78.220","84.600","84.600","74.890","0.08K","-10.06%"
"01/14/2022","86.970","89.000","91.800","85.700","0.12K","1.77%"
"01/13/2022","85.460","72.000","85.980","72.000","0.14K","13.71%"
"01/12/2022","75.155","82.250","82.250","73.400","0.09K","-4.55%"
"01/11/2022","78.735","81.225","82.050","80.000","0.04K","-6.94%"
"01/10/2022","84.605","86.500","90.400","84.460","0.07K","-4.05%"
"01/07/2022","88.175","95.800","96.270","86.580","0.03K","-8.63%"
"01/06/2022","96.500","95.265","97.020","93.300","0.07K","5.44%"
"01/05/2022","91.520","95.700","95.700","88.385","0.14K","3.13%"
"01/04/2022","88.740","85.000","96.625","85.000","0.31K","10.33%"
"01/03/2022","80.435","80.435","80.435","80.435","","14.34%"
"12/31/2021","70.345","82.000","82.000","67.365","0.08K","-19.17%"
"12/30/2021","87.027","94.350","94.350","88.050","0.09K","-9.79%"
"12/29/2021","96.475","99.000","104.600","99.000","0.07K","-9.49%"
"12/28/2021","106.590","106.590","106.590","106.590","0.00K","-0.29%"
"12/27/2021","106.895","100.000","105.500","100.000","0.01K","-19.37%"
"12/23/2021","132.580","158.300","158.300","129.360","0.08K","-23.31%"
"12/22/2021","172.875","174.300","176.655","172.720","0.04K","-4.10%"
"12/21/2021","180.265","157.700","174.800","157.700","0.51K","22.69%"
"12/20/2021","146.925","140.820","148.505","139.400","0.41K","7.31%"
"12/17/2021","136.915","124.500","139.500","124.500","0.68K","-4.10%"
"12/16/2021","142.765","128.710","143.000","126.190","0.85K","7.92%"
"12/15/2021","132.285","131.100","132.405","120.600","1.02K","3.11%"
"12/14/2021","128.300","118.950","129.065","116.775","0.64K","10.52%"
"12/13/2021","116.085","115.400","118.625","112.440","0.47K","9.75%"
"12/10/2021","105.775","101.605","107.750","100.830","0.24K","5.31%"
"12/09/2021","100.445","98.500","104.350","97.170","0.42K","-1.04%"
"12/08/2021","101.500","98.600","103.835","98.600","0.36K","5.86%"
"12/07/2021","95.885","95.000","95.880","94.595","0.24K","6.62%"
"12/06/2021","89.930","86.600","90.275","86.600","0.09K","0.50%"
"12/03/2021","89.480","91.590","92.050","89.620","0.09K","-5.64%"
"12/02/2021","94.830","91.600","92.460","89.200","0.17K","-0.88%"
"12/01/2021","95.675","92.600","95.100","92.600","0.29K","3.42%"
"11/30/2021","92.515","98.000","98.000","95.015","0.03K","-0.68%"
"11/29/2021","93.146","94.250","94.250","92.450","0.22K","6.12%"
"11/26/2021","87.772","92.450","94.400","87.750","0.08K","-5.92%"
"11/25/2021","93.300","93.300","93.300","93.300","","-0.73%"
"11/24/2021","93.985","93.850","93.850","93.850","0.01K","3.37%"
"11/23/2021","90.925","86.950","91.400","86.950","0.04K","8.22%"
"11/22/2021","84.015","84.250","86.020","81.950","0.06K","-3.57%"
"11/19/2021","87.125","91.125","91.125","86.000","0.01K","-8.45%"
"11/18/2021","95.165","93.600","95.300","91.365","0.04K","0.17%"
"11/17/2021","95.005","97.990","99.850","95.085","0.05K","0.87%"
"11/16/2021","94.190","84.380","91.490","84.380","0.06K","17.82%"
"11/15/2021","79.945","78.295","82.095","78.285","0.05K","5.64%"
"11/12/2021","75.675","77.770","77.770","74.060","0.03K","1.18%"
"11/11/2021","74.790","72.000","75.100","72.000","0.01K","6.65%"
"11/10/2021","70.125","66.710","70.370","64.505","0.06K","-3.39%"
"11/09/2021","72.585","76.500","76.900","74.005","0.03K","-8.21%"
"11/08/2021","79.075","80.770","80.770","77.005","0.05K","6.82%"
"11/05/2021","74.025","73.160","74.640","73.030","0.08K","0.89%"
"11/04/2021","73.375","77.525","77.525","72.815","0.06K","-4.14%"
"11/03/2021","76.540","73.520","80.045","73.520","0.07K","13.22%"
"11/02/2021","67.605","65.175","70.665","62.840","0.06K","3.02%"
"11/01/2021","65.620","63.590","65.750","63.590","0.01K","1.16%"
"10/29/2021","64.865","72.620","72.620","70.000","0.02K","-15.79%"
"10/28/2021","77.032","78.000","80.600","78.000","0.03K","-11.27%"
"10/27/2021","86.820","86.300","86.950","86.000","0.05K","-1.89%"
"10/26/2021","88.495","90.150","90.200","87.800","0.06K","-0.17%"
"10/25/2021","88.645","91.000","91.000","88.000","0.06K","1.49%"
"10/22/2021","87.340","88.610","88.700","87.000","0.09K","-1.27%"
"10/21/2021","88.465","90.645","90.660","87.815","0.04K","-5.33%"
"10/20/2021","93.450","94.395","94.395","92.750","0.02K","3.91%"
"10/19/2021","89.930","92.150","93.935","89.425","0.06K","-4.26%"
"10/18/2021","93.935","89.350","100.400","89.350","0.04K","0.30%"
"10/15/2021","93.650","104.000","104.000","92.570","0.15K","-8.34%"
"10/14/2021","102.170","102.150","102.255","96.730","0.08K","9.14%"
"10/13/2021","93.615","91.375","94.610","90.290","0.24K","9.24%"
"10/12/2021","85.700","86.310","87.395","85.000","0.60K","0.57%"
"10/11/2021","85.215","92.000","92.135","83.500","0.23K","-2.73%"
"10/08/2021","87.605","95.000","95.675","83.700","0.15K","-9.30%"
"10/07/2021","96.585","89.260","109.470","89.260","0.08K","-10.73%"
"10/06/2021","108.190","131.025","132.930","101.555","0.18K","-6.75%"
"10/05/2021","116.020","95.000","105.610","83.620","0.17K","20.04%"
"10/04/2021","96.650","96.400","99.760","94.235","0.17K","3.23%"
"10/01/2021","93.625","94.665","97.590","93.105","0.20K","-4.24%"
"09/30/2021","97.775","94.920","96.300","93.180","0.05K","12.89%"
"09/29/2021","86.609","86.500","86.500","86.500","0.08K","10.24%"
"09/28/2021","78.565","83.000","84.150","78.950","0.08K","2.69%"
"09/27/2021","76.505","75.000","76.970","75.000","0.28K","8.92%"
"09/24/2021","70.240","68.300","70.890","68.255","0.35K","0.80%"
"09/23/2021","69.685","68.000","70.710","68.000","0.61K","-2.80%"
"09/22/2021","71.690","70.100","72.655","69.925","0.71K","-2.83%"
"09/21/2021","73.780","72.525","75.105","71.250","0.36K","-2.04%"
"09/20/2021","75.315","65.725","75.380","69.805","0.35K","15.69%"
"09/17/2021","65.103","66.750","66.775","62.850","0.38K","2.93%"
"09/16/2021","63.250","68.535","68.535","60.760","0.34K","-10.54%"
"09/15/2021","70.705","71.925","77.275","69.725","0.62K","7.51%"
"09/14/2021","65.765","64.550","66.395","64.550","1.13K","7.32%"
"09/13/2021","61.280","59.350","62.250","59.350","1.02K","5.81%"
"09/10/2021","57.916","56.000","57.995","55.775","1.18K","2.36%"
"09/09/2021","56.580","55.600","57.230","54.730","1.06K","2.33%"
"09/08/2021","55.290","54.175","55.575","53.560","1.43K","2.56%"
"09/07/2021","53.910","53.075","54.185","51.285","2.16K","4.67%"
"09/03/2021","51.505","51.800","52.550","51.290","1.29K","-0.79%"
"09/02/2021","51.915","50.985","52.595","49.715","1.32K","3.35%"
"09/01/2021","50.230","52.250","52.900","49.600","2.05K","-0.22%"
"08/31/2021","50.340","48.580","50.470","48.580","0.20K","1.33%"
"08/30/2021","49.680","48.850","49.430","48.700","0.09K","3.92%"
"08/27/2021","47.806","47.806","47.806","47.806","","4.40%"
"08/26/2021","45.790","44.215","45.845","44.200","0.32K","1.12%"
"08/25/2021","45.285","45.830","46.130","44.775","1.00K","0.92%"
"08/24/2021","44.870","43.625","45.070","43.625","0.16K","7.65%"
"08/23/2021","41.680","42.275","43.535","40.610","0.59K","-0.63%"
"08/20/2021","41.944","41.570","42.625","40.900","0.52K","3.83%"
"08/19/2021","40.395","44.375","44.480","40.100","0.80K","-10.99%"
"08/18/2021","45.385","46.395","47.525","42.795","0.63K","-3.33%"
"08/17/2021","46.950","46.855","47.975","46.675","0.52K","-2.17%"
"08/16/2021","47.990","46.250","48.215","46.250","0.42K","7.53%"
"08/13/2021","44.630","44.415","45.400","44.375","0.76K","-2.70%"
"08/12/2021","45.870","46.150","46.525","45.325","0.77K","-0.25%"
"08/11/2021","45.985","44.975","46.525","44.575","0.52K","2.98%"
"08/10/2021","44.655","44.390","45.025","44.215","0.89K","4.37%"
"08/09/2021","42.785","43.095","43.570","42.450","1.22K","-0.78%"
"08/06/2021","43.120","43.900","44.570","42.675","1.14K","0.51%"
"08/05/2021","42.900","41.570","43.200","41.195","1.26K","1.53%"
"08/04/2021","42.255","41.540","42.260","41.540","0.78K","2.45%"
"08/03/2021","41.245","41.590","42.180","41.120","0.93K","-2.16%"
"08/02/2021","42.155","42.100","42.690","41.815","1.36K","3.44%"
"07/30/2021","40.755","40.510","40.855","39.420","0.39K","-0.97%"
"07/29/2021","41.154","40.350","40.880","40.050","0.72K","3.66%"
"07/28/2021","39.700","38.465","39.715","38.415","0.51K","5.61%"
"07/27/2021","37.590","37.695","37.705","37.260","0.56K","1.83%"
"07/26/2021","36.915","36.140","37.025","35.910","0.17K","3.91%"
"07/23/2021","35.525","35.815","35.940","35.100","0.53K","-1.67%"
"07/22/2021","36.130","35.675","36.435","35.650","0.59K","0.50%"
"07/21/2021","35.950","35.500","36.200","35.460","0.37K","2.23%"
"07/20/2021","35.165","35.095","35.315","34.625","0.52K","-1.36%"
"07/19/2021","35.650","36.450","36.810","35.615","0.42K","2.32%"
"07/16/2021","34.840","35.100","35.525","34.600","0.46K","3.09%"
"07/15/2021","33.795","34.200","34.605","33.610","0.46K","-2.82%"
"07/14/2021","34.775","34.835","35.175","33.405","0.62K","-1.95%"
"07/13/2021","35.465","34.305","35.835","34.145","0.94K","2.35%"
"07/12/2021","34.650","35.235","36.150","34.395","1.14K","-5.41%"
"07/09/2021","36.632","35.840","36.850","35.565","0.66K","9.97%"
"07/08/2021","33.310","32.290","33.875","31.470","1.19K","3.00%"
"07/07/2021","32.340","34.315","36.230","32.345","1.15K","-5.18%"
"07/06/2021","34.105","37.250","38.365","33.080","1.43K","-4.81%"
"07/02/2021","35.827","34.925","36.870","34.925","1.21K","-0.88%"
"07/01/2021","36.145","35.500","36.955","35.450","0.63K","4.40%"
"06/30/2021","34.620","33.875","34.925","33.740","1.46K","3.39%"
"06/29/2021","33.486","32.855","33.825","32.855","0.30K","3.70%"
"06/28/2021","32.290","32.100","32.380","31.750","0.79K","-0.29%"
"06/25/2021","32.385","31.950","32.400","31.950","0.55K","1.16%"
"06/24/2021","32.015","31.550","32.025","31.410","0.95K","1.49%"
"06/23/2021","31.545","31.350","31.685","30.565","0.55K","2.64%"
"06/22/2021","30.735","30.050","30.835","29.990","0.59K","3.78%"
"06/21/2021","29.615","29.970","30.200","29.305","0.70K","0.71%"
"06/18/2021","29.405","28.935","29.610","28.800","0.60K","3.87%"
"06/17/2021","28.310","27.800","28.670","27.700","1.08K","1.00%"
"06/16/2021","28.030","28.000","28.775","27.740","1.30K","-0.37%"
"06/15/2021","28.135","28.300","28.705","27.910","1.01K","-2.34%"
"06/14/2021","28.810","29.100","29.315","28.575","0.86K","3.47%"
"06/11/2021","27.845","28.500","28.595","27.700","0.46K","-2.93%"
"06/10/2021","28.685","28.275","28.725","27.705","0.68K","1.36%"
"06/09/2021","28.300","27.900","28.425","27.805","0.69K","1.80%"
"06/08/2021","27.800","27.475","27.850","27.350","0.64K","4.95%"
"06/07/2021","26.490","25.900","26.665","25.900","0.36K","2.69%"
"06/04/2021","25.795","25.750","26.025","25.450","0.41K","0.35%"
"06/03/2021","25.705","26.250","26.250","25.675","0.47K","-0.08%"
"06/02/2021","25.725","25.700","26.100","25.280","1.03K","-0.96%"
"06/01/2021","25.975","25.180","26.230","25.180","0.77K","4.19%"
"05/28/2021","24.930","25.100","25.200","24.620","0.40K","-1.07%"
"05/27/2021","25.200","25.645","26.100","25.275","0.56K","-4.64%"
"05/26/2021","26.425","26.775","26.915","26.400","0.71K","0.90%"
"05/25/2021","26.190","25.250","26.150","25.250","0.86K","5.78%"
"05/24/2021","24.760","24.475","24.850","24.455","0.40K","-0.14%"
"05/21/2021","24.795","25.300","25.550","24.600","0.98K","0.45%"
"05/20/2021","24.685","23.100","24.565","23.050","0.94K","8.91%"
"05/19/2021","22.665","24.050","24.125","22.570","1.00K","-8.65%"
"05/18/2021","24.810","25.400","25.775","24.645","1.31K","-5.70%"
